business_id,alias,title
PsUi2HK5l-Qwzfwy9g3vQg,hotdogs,Fast Food
peEid84FKU2D-9vpboojtg,coffee,Coffee & Tea
peEid84FKU2D-9vpboojtg,breakfast_brunch,Breakfast & Brunch
peEid84FKU2D-9vpboojtg,sandwiches,Sandwiches
SdzRd5X5AgwkUaE-YiDSvQ,bakeries,Bakeries
Bm_t6Ka9niKJ-6_QTjkg1g,hotdogs,Fast Food
Bm_t6Ka9niKJ-6_QTjkg1g,burgers,Burgers
20vCzyibdvXOxW42h9v_MQ,pizza,Pizza
XY8toAsZhldSASUQtBVziw,gelato,Gelato
HfbKv8pr8Vsx_mvT5oRARw,bakeries,Bakeries
wvlF1x7Cm8UGu6iD0LgIJw,hotdogs,Fast Food
wvlF1x7Cm8UGu6iD0LgIJw,salad,Salad
wvlF1x7Cm8UGu6iD0LgIJw,mexican,Mexican
IrDBZjJvYUCvdOgE2DE0iQ,coffee,Coffee & Tea
HsOoxQvWuRecqEt1_jrfyg,sportsbars,Sports Bars
HsOoxQvWuRecqEt1_jrfyg,tradamerican,American (Traditional)
LMi27OYR2CeQnytc9CsfLg,icecream,Ice Cream & Frozen Yogurt
3bYHVaEMAS35PAinUdnDdw,italian,Italian
3bYHVaEMAS35PAinUdnDdw,salad,Salad
3bYHVaEMAS35PAinUdnDdw,pizza,Pizza
a7hQ0s8X-Ny7FdzvkjRllw,sandwiches,Sandwiches
a7hQ0s8X-Ny7FdzvkjRllw,salad,Salad
a7hQ0s8X-Ny7FdzvkjRllw,soup,Soup
9M_wg9XWjdiqAp2-RPf4Lw,lounges,Lounges
oTqio4v2qXzA0bwnLiBrVA,airportlounges,Airport Lounges
3oMcNguqRNMxsb_j0Vdqsw,coffee,Coffee & Tea
yKfjeMdJdQ7G1C9Qs1FNzA,bagels,Bagels
lptw12m0hIetAaRc6mdmAA,coffee,Coffee & Tea
6TcheR_XpQ7Hms87wMCa2Q,tradamerican,American (Traditional)
DUhU9wi7Ja4r1Hl4bQrYbw,hotdogs,Fast Food
DUhU9wi7Ja4r1Hl4bQrYbw,burgers,Burgers
Jy-q8QdvOnRMwPCzxLvqVw,burgers,Burgers
FQtgz9okanZTIPDMmCkniQ,lounges,Lounges
v-Ci4EPmEYy6BPOOrqPd4Q,coffee,Coffee & Tea
IkiIiaOUdfhXYV8KGBDZ2w,hotdogs,Fast Food
IkiIiaOUdfhXYV8KGBDZ2w,delis,Delis
IkiIiaOUdfhXYV8KGBDZ2w,sandwiches,Sandwiches
7nwL4jfH2018AQj28qL8hQ,hotdogs,Fast Food
7nwL4jfH2018AQj28qL8hQ,burgers,Burgers
2q98StEpXcKOzNVI4WBmTw,pizza,Pizza
2q98StEpXcKOzNVI4WBmTw,sandwiches,Sandwiches
2q98StEpXcKOzNVI4WBmTw,newamerican,American (New)
C0vKeUYBOmK0f-WaOhlj8g,hotdog,Hot Dogs
ExMdSGr6qAIG6WQjSBtzhQ,restaurants,Restaurants
_CNaTMwLHHfQ6eIC_eYpgQ,wine_bars,Wine Bars
famGNCbwW2CTMfeq6fBHMA,coffee,Coffee & Tea
8rqZPTeOBuPNHMVbxFoOmA,coffee,Coffee & Tea
ppQAkXnbnI7J997MUXnL-w,airportlounges,Airport Lounges
zr7grc6VLxwuo3iXLAs1oA,hotdogs,Fast Food
LAswzVTnT3uCvnKr-SwxEg,restaurants,Restaurants
1rLUzkwK289O8Z6LqETohw,pizza,Pizza
z7Bagq-hqWzJ1VkUupgPOQ,coffee,Coffee & Tea
Un0QXKDscxlI_yi3u14ALA,hotdogs,Fast Food
hHsi4B_sVbLtVUDC_ZjDJw,mediterranean,Mediterranean
ahGptHMIRIBXR9wzqZqZwA,breakfast_brunch,Breakfast & Brunch
3oMcNguqRNMxsb_j0Vdqsw,coffee,Coffee & Tea
jQ7uVW2g5vZkuIg_hRs2SQ,food_court,Food Court
jQ7uVW2g5vZkuIg_hRs2SQ,hotdogs,Fast Food
yKfjeMdJdQ7G1C9Qs1FNzA,bagels,Bagels
0lgXb6kIisS0ONXiwr6_jw,pretzels,Pretzels
0lgXb6kIisS0ONXiwr6_jw,bakeries,Bakeries
0lgXb6kIisS0ONXiwr6_jw,hotdogs,Fast Food
tqajW_GEpfOdbuVNw2-trw,coffee,Coffee & Tea
l7GHpXzildsoMhUHkpnn1Q,parks,Parks
WhYgyJ1hTJCUhfzsF7URnw,coffee,Coffee & Tea
WhYgyJ1hTJCUhfzsF7URnw,desserts,Desserts
WhYgyJ1hTJCUhfzsF7URnw,juicebars,Juice Bars & Smoothies
viuM2vdATRCxI-wqlBHytA,golf,Golf
viuM2vdATRCxI-wqlBHytA,newamerican,American (New)
viuM2vdATRCxI-wqlBHytA,sportsbars,Sports Bars
