business_id,alias,title
-VUCSdsS5O9h2CaW-9_n9A,yoga,Yoga
-VUCSdsS5O9h2CaW-9_n9A,barreclasses,Barre Classes
wCALKHMaj_2pkRka7bxwyA,hotdogs,Fast Food
wCALKHMaj_2pkRka7bxwyA,pizza,Pizza
3wLr3c6KxRTb1P11_Bvj3A,indpak,Indian
Czye7GGTSZsG-zslfroDHQ,sandwiches,Sandwiches
Czye7GGTSZsG-zslfroDHQ,mediterranean,Mediterranean
Czye7GGTSZsG-zslfroDHQ,greek,Greek
PoO6BVwVQDSi-Ah_ZTOmOA,hotels,Hotels
if-wPaAdy_jGpjBA5Y0jUQ,deptstores,Department Stores
if-wPaAdy_jGpjBA5Y0jUQ,furniture,Furniture Stores
if-wPaAdy_jGpjBA5Y0jUQ,electronics,Electronics
J9pfc1Pw4LrDj35HkkiYQQ,breakfast_brunch,Breakfast & Brunch
J9pfc1Pw4LrDj35HkkiYQQ,bakeries,Bakeries
J9pfc1Pw4LrDj35HkkiYQQ,coffee,Coffee & Tea
3HJKIBAD-xpzlIcKdYfI7A,ramen,Ramen
qDUUbnEE188-SeCuOI5hKQ,breakfast_brunch,Breakfast & Brunch
qDUUbnEE188-SeCuOI5hKQ,burgers,Burgers
qDUUbnEE188-SeCuOI5hKQ,sandwiches,Sandwiches
Lv1VSURu9Sh59h8FglPlUg,poke,Poke
Lv1VSURu9Sh59h8FglPlUg,sushi,Sushi Bars
wZLk-9mH7hMvgnBpkBhn6A,pizza,Pizza
G_0oXqSp5ihGOuH8qV-F6g,burgers,Burgers
G_0oXqSp5ihGOuH8qV-F6g,icecream,Ice Cream & Frozen Yogurt
G_0oXqSp5ihGOuH8qV-F6g,tradamerican,American (Traditional)
acdP0_uUuuZsJcuKVs0ElA,sandwiches,Sandwiches
acdP0_uUuuZsJcuKVs0ElA,breakfast_brunch,Breakfast & Brunch
acdP0_uUuuZsJcuKVs0ElA,cafes,Cafes
45yhv241RDvvUi28-mzCTQ,peruvian,Peruvian
mO5sznth9cF6MqfrrbUKrw,coffee,Coffee & Tea
mO5sznth9cF6MqfrrbUKrw,breakfast_brunch,Breakfast & Brunch
mO5sznth9cF6MqfrrbUKrw,juicebars,Juice Bars & Smoothies
X1Le8pNrHevyJcw0ptoBmA,juicebars,Juice Bars & Smoothies
X1Le8pNrHevyJcw0ptoBmA,salad,Salad
X1Le8pNrHevyJcw0ptoBmA,breakfast_brunch,Breakfast & Brunch
FBodSXIvfh_WbrXQ0vzBxg,tacos,Tacos
0SY6iDFH6UWpdiYvu8AoPQ,caribbean,Caribbean
0SY6iDFH6UWpdiYvu8AoPQ,soulfood,Soul Food
0SY6iDFH6UWpdiYvu8AoPQ,catering,Caterers
NqjCYVtUwfKyDanVZGfF8w,icecream,Ice Cream & Frozen Yogurt
NqjCYVtUwfKyDanVZGfF8w,hotdogs,Fast Food
Ic7p5nqe3W_JOWcG836gdw,sandwiches,Sandwiches
Ic7p5nqe3W_JOWcG836gdw,delis,Delis
Ic7p5nqe3W_JOWcG836gdw,hotdogs,Fast Food
_s1qh7cL7EQv1lkCLinKmQ,indpak,Indian
bD5pY2_d7lSWoxxNVcYHoQ,sushi,Sushi Bars
bD5pY2_d7lSWoxxNVcYHoQ,chinese,Chinese
bD5pY2_d7lSWoxxNVcYHoQ,thai,Thai
y62HjXe-U-2BKVNHL34XNw,poke,Poke
y62HjXe-U-2BKVNHL34XNw,icecream,Ice Cream & Frozen Yogurt
GS3z95SsRQmwv-OhGOTdvQ,sandwiches,Sandwiches
GS3z95SsRQmwv-OhGOTdvQ,hotdogs,Fast Food
GS3z95SsRQmwv-OhGOTdvQ,delis,Delis
z8DJtSQj-_z8no0rKyeptg,vietnamese,Vietnamese
z8DJtSQj-_z8no0rKyeptg,bubbletea,Bubble Tea
bkVsViZHXfMuuYk_z9SG8g,kebab,Kebab
fF6OFTTS0nTWMz42a5XTUw,sandwiches,Sandwiches
fF6OFTTS0nTWMz42a5XTUw,hotdogs,Fast Food
fncOSrA-yMgoyK_EuLPswA,mexican,Mexican
fncOSrA-yMgoyK_EuLPswA,hotdogs,Fast Food
HH-pDFQ2zbUX1-a_TuQyOg,mexican,Mexican
PRLuRoj_ecLlu7BL7D0J3Q,breakfast_brunch,Breakfast & Brunch
PRLuRoj_ecLlu7BL7D0J3Q,cafes,Cafes
PRLuRoj_ecLlu7BL7D0J3Q,tradamerican,American (Traditional)
39GSkFbmWXAukpy9eDqPow,diners,Diners
39GSkFbmWXAukpy9eDqPow,breakfast_brunch,Breakfast & Brunch
39GSkFbmWXAukpy9eDqPow,tradamerican,American (Traditional)
8JPLQDiTrRQxzirtomuxTw,delis,Delis
8JPLQDiTrRQxzirtomuxTw,sandwiches,Sandwiches
8JPLQDiTrRQxzirtomuxTw,salad,Salad
mNdeP_EXyM0yj_NvqF3EuA,grocery,Grocery
mNdeP_EXyM0yj_NvqF3EuA,drugstores,Drugstores
Uq8rO7NRcJYUMAA5qz4jmw,coffee,Coffee & Tea
zZIe73_RTUKqoZJmZnkZBw,italian,Italian
Wm9_qUMC8SRsNGDyEKWv1w,hotdogs,Fast Food
Wm9_qUMC8SRsNGDyEKWv1w,burgers,Burgers
QMt_YqhmTykJtbrZsVV4AQ,buffets,Buffets
QMt_YqhmTykJtbrZsVV4AQ,chinese,Chinese
QMt_YqhmTykJtbrZsVV4AQ,sushi,Sushi Bars
PrledvOPzA9hgHcHUNFygQ,vietnamese,Vietnamese
hI6Ftj13vXOSxby57DAMAw,tradamerican,American (Traditional)
hI6Ftj13vXOSxby57DAMAw,breakfast_brunch,Breakfast & Brunch
hI6Ftj13vXOSxby57DAMAw,diners,Diners
L_kccaHSRAayKgvzoFe68w,hotdogs,Fast Food
L_kccaHSRAayKgvzoFe68w,burgers,Burgers
yomfx7MCwUzybX_b-osBYw,mediterranean,Mediterranean
OZBM5chO0aMeW_Oot2ScOQ,sandwiches,Sandwiches
OZBM5chO0aMeW_Oot2ScOQ,hotdogs,Fast Food
GXT6RK76TnZUvrms65KhSw,sandwiches,Sandwiches
WiMl3D-X-GaC0FCkfHoldw,burgers,Burgers
Rtwvn-nA3FJewm6V5Aksag,cuban,Cuban
Rtwvn-nA3FJewm6V5Aksag,puertorican,Puerto Rican
Rtwvn-nA3FJewm6V5Aksag,dominican,Dominican
X5Ajzhq6rW3BO5UgiBLQ6g,hotdogs,Fast Food
X5Ajzhq6rW3BO5UgiBLQ6g,burgers,Burgers
f2BSKk1Vf--47JnEuRAQTQ,salad,Salad
f2BSKk1Vf--47JnEuRAQTQ,delis,Delis
f2BSKk1Vf--47JnEuRAQTQ,sandwiches,Sandwiches
wTVWZjLF3CuQ35l0wxCUBw,newamerican,American (New)
