business_id,alias,yelp_name,wake_county_name,had_critical_violation,years_open,is_closed,review_count,rating,latitude,longitude,price,location_city,location_zip_code,url
Fz8--5bKau1mJGffcCnsYQ,j-and-s-new-york-pizza-apex-2,J & S New York Pizza,J & S NEW YORK PIZZA,2.0,4.0,0.0,81.0,3.5,35.7206379,-78.8442204,$,Apex,27502,https://www.yelp.com/biz/j-and-s-new-york-pizza-apex-2?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
1HqUHUKfuRbHYm3NoIzJQA,glory-days-grill-apex,Glory Days Grill,Glory Days Grill,6.0,2.0,0.0,88.0,3.0,35.7379861046732,-78.8946833256562,$$,Apex,27502,https://www.yelp.com/biz/glory-days-grill-apex?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
ufva_xBUQtNuCDQX7mL0VA,panera-bread-apex,Panera Bread,PANERA BREAD ,0.0,7.0,0.0,60.0,3.0,35.7444696423931,-78.8725674301713,$$,Apex,27502,https://www.yelp.com/biz/panera-bread-apex?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
rkGJVzi0lKSzAQNS7DnwkQ,vegan-community-kitchen-apex-2,Vegan Community Kitchen,Subway,1.0,17.0,0.0,69.0,4.5,35.722527,-78.844048,$$,Apex,27502,https://www.yelp.com/biz/vegan-community-kitchen-apex-2?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
WzAUVhGsH_4K-saFWM_NAA,annas-pizzeria-apex,Anna's Pizzeria,ANNA'S PIZZERIA,4.0,11.0,0.0,194.0,3.5,35.7307599,-78.85126,$$,Apex,27502,https://www.yelp.com/biz/annas-pizzeria-apex?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
Y4ZDvVqXeY9ns7-heCZ9Iw,abbey-road-tavern-and-grill-apex-4,Abbey Road Tavern & Grill,ABBEY ROAD TAVERN & GRILL APEX,1.0,2.0,0.0,107.0,3.5,35.7252224333248,-78.827453,$$,Apex,27502,https://www.yelp.com/biz/abbey-road-tavern-and-grill-apex-4?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
qmafds6zX0oaDDB7sV2g_A,bojangles-apex,Bojangles,Bojangles ,1.0,11.0,0.0,25.0,2.5,35.705977,-78.835126,$,Apex,27539,https://www.yelp.com/biz/bojangles-apex?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
fmMW7944SdJSftZK-r50mA,food-lion-apex,Food Lion,FOOD LION  DELI,1.0,4.0,0.0,5.0,3.5,35.7349661740605,-78.8416605118969,$,Apex,27502,https://www.yelp.com/biz/food-lion-apex?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
JtLdn4Y-j31_1mGzA2yqOA,scratch-kitchen-and-taproom-apex,Scratch Kitchen & Taproom,PEAK ON SALEM,0.0,0.0,0.0,204.0,4.0,35.73263,-78.85088,$$,Apex,27502,https://www.yelp.com/biz/scratch-kitchen-and-taproom-apex?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
sThQHsCcZGdCFpbctXJ6dg,panda-express-apex,Panda Express,Panda Express ,3.0,12.0,0.0,55.0,2.5,35.7451972961426,-78.873176574707,$,Apex,27502,https://www.yelp.com/biz/panda-express-apex?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
