business_id,alias,yelp_name,is_closed,review_count,rating,latitude,longitude,price,location_city,location_zip_code,url
vfLoaULdp8zAAUu0dzXKQg,starbucks-charlotte-54,Starbucks,0,6,1.5,35.1466,-80.947296,$$$,Charlotte,28273,https://www.yelp.com/biz/starbucks-charlotte-54?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
9BBWtaSvsootDkKTVBgv_A,jasmine-buffet-charlotte,Jasmine Buffet,0,125,3,35.129892,-80.944694,$$,Charlotte,28273,https://www.yelp.com/biz/jasmine-buffet-charlotte?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
OEI3uF6JqHJa9LvdB6QJSw,steele-creek-cafe-charlotte,Steele Creek Cafe,0,46,3,35.1307949,-80.945521,$,Charlotte,28273,https://www.yelp.com/biz/steele-creek-cafe-charlotte?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
Cgkcz9XbvZsMm54vKTS_cg,york-crossing-restaurant-charlotte,York Crossing Restaurant,0,17,4,35.1301487,-80.9442649,$,Charlotte,28273,https://www.yelp.com/biz/york-crossing-restaurant-charlotte?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
sTqy6M_nyH0-Xt-JvM0yFA,yorkcrossings-charlotte,Yorkcrossings,0,1,1,35.1301537,-80.9442825,?,Charlotte,28273,https://www.yelp.com/biz/yorkcrossings-charlotte?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
LoV_W0p5l0r4zvuHs7F9FA,chicken-king-charlotte-8,Chicken King,0,31,4,35.1205039,-80.949078,$,Charlotte,28273,https://www.yelp.com/biz/chicken-king-charlotte-8?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
hWIQ6rl1uub-WVGTySvOsw,cook-out-charlotte-6,Cook Out,0,44,3,35.1216,-80.9499,$,Charlotte,28273,https://www.yelp.com/biz/cook-out-charlotte-6?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
aZG9Hp8fdgzq37iuB1QTYg,carowinds-charlotte-2,Carowinds,0,468,3.5,35.103274,-80.943713,?,Charlotte,28273,https://www.yelp.com/biz/carowinds-charlotte-2?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
#NAME?,chickie-and-petes-charlotte,Chickie & Pete's,0,12,2.5,35.103371,-80.943712,$$$,Charlotte,28273,https://www.yelp.com/biz/chickie-and-petes-charlotte?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
2R3Q76wyFTws8H6rrlRidg,copperhead-strike-charlotte,Copperhead Strike,0,2,4.5,35.103233,-80.943741,?,Charlotte,28273,https://www.yelp.com/biz/copperhead-strike-charlotte?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
