HSISID,NAME,ADDRESS1,CITY,RESTAURANTOPENDATE,X,Y,CRITICAL_VIOLATIONS
4092017547,POTBELLY SANDWICH SHOP,9662 CHAPEL HILL RD ,MORRISVILLE,2017-03-09T00:00:00.000Z,-78.81492453,35.8087175,9.0
4092017556,WHICH WICH PARK WEST #327,3301 VILLAGE MARKET  PL ,MORRISVILLE,2017-03-16T00:00:00.000Z,-78.81800343,35.80772157,3.0
4092018191,Burger Fi RDU,2400 JOHN BRANTLEY BLVD,MORRISVILLE,2019-10-01T00:00:00.000Z,-78.7894226,35.86970666,0.0
4092017764,Country Inn & Suites Breakfast Area,201 Airgate DR,MORRISVILLE,2018-01-12T00:00:00.000Z,-78.81563287,35.86365077,7.0
4092015694,Teriyakin,10970 Chapel Hill RD ,MORRISVILLE,2010-08-12T00:00:00.000Z,-78.84057157,35.85637651,3.0
4092016817,TELEFLEX CAFE,3015 CARRINGTON MILL BLVD.,MORRISVILLE,2014-11-21T00:00:00.000Z,-78.83567394,35.86501618,1.0
4092016244,PARADISE INDIA CUISINE,10255 CHAPEL HILL RD ,MORRISVILLE,2012-09-12T00:00:00.000Z,-78.82788003,35.83012574,18.0
4092017094,J J CHINA,3607 DAVIS DR ,MORRISVILLE,2015-12-07T00:00:00.000Z,-78.84976245,35.82130357,3.0
4092014980,Daly Cafe and Pub at Holiday Inn,930 Airport BLVD ,MORRISVILLE,2007-10-17T00:00:00.000Z,-78.82187156,35.85658845,16.0
4092017215,PENG'S ASIAN CUISINE,108-A FACTORY SHOPS RD ,MORRISVILLE,2016-04-22T00:00:00.000Z,-78.81776736,35.86038432,7.0
4092018086,Fairfield Inn & Suites RDU Foodservice,2750 Slater RD ,Morrisville,2019-04-04T00:00:00.000Z,-78.82088455,35.86023259,0.0
4092016896,EARTH FARE #145 CAFE,951 MORRISVILLE PKWY.,MORRISVILLE,2015-03-23T00:00:00.000Z,-78.81719519,35.80937891,20.0
4092016781,FULL MOON OYSTER BAR,1600 VILLAGE MARKET PL ,MORRISVILLE,2014-10-16T00:00:00.000Z,-78.81676023,35.80454378,14.0
4092014932,Babymoon Cafe,100 Jerusalem DR,MORRISVILLE,2007-08-24T00:00:00.000Z,-78.82707041,35.85102001,1.0
4092017760,MASALA WRAP,9825-F CHAPEL HILL RD ,MORRISVILLE,2017-12-28T00:00:00.000Z,-78.81682594,35.81118245,10.0
4092017736,Clean Juice Parkwest,3035 Village Market PL ,Morrisville,2017-11-14T00:00:00.000Z,-78.81851309,35.80675172,10.0
4092017324,PERIMETER PARK CAFE,3025 CARRINGTON MILLS BLVD ,MORRISVILLE,2016-09-02T00:00:00.000Z,-78.83271746,35.86502555,4.0
4092016307,CHILI'S #1534,1201 MARKET CENTER DR ,MORRISVILLE,2012-11-21T00:00:00.000Z,-78.81676023,35.80454378,15.0
4092014839,La Quinta Inns #944 Foodservice,1001 Hospitality CT,MORRISVILLE,2007-04-03T00:00:00.000Z,-78.81641483,35.85963147,2.0
4092017032,LOS TRES MAGUEYES,995 AIRPORT BLVD ,MORRISVILLE,2015-09-22T00:00:00.000Z,-78.82030892,35.85954625,4.0
4092018146,FLAVORS KITCHEN,4051 Davis DR ,MORRISVILLE,2019-08-02T00:00:00.000Z,-78.85811603,35.835626500000004,0.0
4092014765,Randy's Pizza,4129 Davis DR ,MORRISVILLE,2006-12-22T00:00:00.000Z,-78.85811603,35.835626500000004,12.0
4092018189,DUNKIN' DONUTS BASKIN ROBBINS #344346,3570 DAVIS DR ,MORRISVILLE,2019-09-27T00:00:00.000Z,-78.84694048,35.81804247,0.0
4092017870,Hibachi Blue,1500 VILLAGE MARKET PL ,MORRISVILLE,2018-07-02T00:00:00.000Z,-78.81676023,35.80454378,3.0
4092014927,DQ Grill and Chill #41656,1008 Morrisville Carpenter RD ,MORRISVILLE,2007-08-10T00:00:00.000Z,-78.84488682,35.81970809,4.0
4092014640,Bojangles#37,1000 Claren CIR,MORRISVILLE,2006-07-06T00:00:00.000Z,-78.82373946,35.85573083,0.0
4092018166,UNC HEALTHCARE MOTOWN CAFE,1025 Think  PL ,MORRISVILLE,2019-09-03T00:00:00.000Z,-78.83605698,35.85709776,0.0
4092017984,Fount Coffee & Kitchen,10954 Chapel Hill RD ,Morrisville,2018-11-27T00:00:00.000Z,-78.84207669999999,35.85570598,0.0
4092017175,Pista House,6105 GRACE PARK  DR ,MORRISVILLE,2016-03-14T00:00:00.000Z,-78.84652326,35.82111262,13.0
4092014651,Inchin's Bamboo Garden,3532 Davis DR,MORRISVILLE,2006-07-19T00:00:00.000Z,-78.84576194,35.81812076,8.0
4092014579,Saffron,4121 Davis DR,MORRISVILLE,2006-04-27T00:00:00.000Z,-78.85811603,35.835626500000004,5.0
4092016145,BUFFALO WILD WINGS #357,1300 VILLAGE MARKET PL ,MORRISVILLE,2012-03-28T00:00:00.000Z,-78.81477704,35.80605417,4.0
4092016617,NOODLES & COMPANY #858            ,2016 MARKET CENTER DR ,MORRISVILLE,2014-02-06T00:00:00.000Z,-78.81800343,35.80772157,14.0
4092015283,CAMBRIA SUITES BARISTA BAR,300 AIRGATE DR ,MORRISVILLE,2008-11-05T00:00:00.000Z,-78.81485296,35.86546822,6.0
4092017469,TARGET CAFE #2721,3001 MARKET CENTER DR ,MORRISVILLE,2016-12-02T00:00:00.000Z,-78.8158358,35.80562095,7.0
4092016412,MEDALLION DINING SERVICE,1995 NW CARY  PKY ,MORRISVILLE,2013-05-03T00:00:00.000Z,-78.8107422,35.80769199,24.0
4092017580,FAMOUS TOASTERY WESTIN CORNERS,9928 CHAPEL HILL RD ,MORRISVILLE,2017-03-29T00:00:00.000Z,-78.82063472,35.81480892,21.0
4092016142,ZOE'S KITCHEN,1017 MARKET CENTER DR ,MORRISVILLE,2012-03-27T00:00:00.000Z,-78.81676023,35.80454378,17.0
4092016999,BAWARCHI,9601 CHAPEL HILL RD ,MORRISVILLE,2015-07-29T00:00:00.000Z,-78.8106566,35.806020600000004,22.0
4092017913,Hummus Cafe,962-B Airport BLVD ,Morrisville,2018-07-19T00:00:00.000Z,-78.82129441,35.85834068,4.0
4092016932,TAIPEI CAFE,9825-G CHAPEL HILL RD ,MORRISVILLE,2015-05-29T00:00:00.000Z,-78.81682594,35.81118245,8.0
4092016870,SOUTHERN FOODSERVICE TIME WARNER,4200 PARAMOUNT  PKY ,MORRISVILLE,2015-02-11T00:00:00.000Z,-78.83206286,35.86029687,8.0
4092016758,RAJBHOG CAFE,3607 DAVIS DR ,MORRISVILLE,2014-09-24T00:00:00.000Z,-78.84976245,35.82130357,11.0
4092015015,Subway #42679,10300 Chapel Hill RD ,MORRISVILLE,2007-11-30T00:00:00.000Z,-78.82715668,35.83264302,3.0
4092016767,LENOVO BUILDING 7 CAFE,7001 DEVELOPMENT DRIVE,MORRISVILLE,2014-09-26T00:00:00.000Z,-78.87426823,35.86577034,6.0
